[0, 1, 2, 3, 4, 5, 6, 7]
[0]
running on  <class 'twisted.internet.kqreactor.KQueueReactor'>
         1117 function calls (1115 primitive calls) in 19.773 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/tcp.py:118(_closeSocket)
       17    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/context.py:120(getContext)
        4    0.000    0.000    0.000    0.000 {method 'send' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/ro.py:19(ro)
        6    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/kqreactor.py:152(removeReader)
        4    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/log.py:169(msg)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/defer.py:769(__init__)
        4    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:326(_maybePauseProducer)
        4    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/kqreactor.py:179(removeWriter)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/posixbase.py:204(__init__)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/posixbase.py:134(__init__)
        2    0.000    0.000    0.000    0.000 /opt/python279/lib/python2.7/socket.py:201(accept)
        3    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/kqreactor.py:122(addReader)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:191(connectionLost)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/protocol.py:75(doStop)
        4    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:415(stopReading)
       54    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:746(_insertNewDelayedCalls)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/deprecate.py:377(__getattribute__)
        4    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:436(startWriting)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/failure.py:172(__init__)
        4    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/threadable.py:33(_synchPre)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/tcp.py:1099(_logConnectionLostMsg)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:468(pauseProducing)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/kqreactor.py:206(removeAll)
       27    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:756(timeout)
        3    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:423(stopWriting)
        7    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/interface.py:552(__eq__)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/ro.py:24(mergeOrderings)
        4    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/kqreactor.py:137(addWriter)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/defer.py:360(callback)
