"repo_name","ref_name","ref_sha1"
"crossbario/autobahn-js","refs/remotes/origin/rel_0_11_2","b7a116590d05fbdc391c527ce4d30c6b9da389fd"
"crossbario/autobahn-js","refs/remotes/upstream/master","c3a800a359838fbbc1b47af55cd122fa01dd0de4"
"crossbario/autobahn-js","refs/tags/v0.10.0","84274451ea329022af6d95b84f27c06429048245"
"crossbario/autobahn-js","refs/tags/v0.10.0^{}","a3998f5e249a68f4dc1b16b0d32552826a6459d9"
"crossbario/autobahn-js","refs/tags/v0.10.1","ea765b8a63ac57d985625dde9f97eff7e5bc8c25"
"crossbario/autobahn-js","refs/tags/v0.11.0","d994baa5cdf2f729880a6cec63fbe2761503b323"
"crossbario/autobahn-js","refs/tags/v0.11.0^{}","9886936a8f80457eb657498049735fe9990a982d"
"crossbario/autobahn-js","refs/tags/v0.11.1","91738faffa115918b85270d5149557347cf3c642"
"crossbario/autobahn-js","refs/tags/v0.11.1^{}","2b9af4a71151fbe0d6e7e3f4745176fefb7ca90c"
"crossbario/autobahn-js","refs/tags/v0.11.2","ed92c2376187ef30987688472a22e65fc96cbb07"
"crossbario/autobahn-js","refs/tags/v0.11.2^{}","b7a116590d05fbdc391c527ce4d30c6b9da389fd"
"crossbario/autobahn-js","refs/tags/v0.12.0","f08b18fbfa99f0cae368e7e9e7631e5cbb9a942c"
"crossbario/autobahn-js","refs/tags/v0.12.0^{}","79b093bf47f6ff3e2fd50f42fce20578150baaf9"
"crossbario/autobahn-js","refs/tags/v0.6.0","e637847d32af0bb5e5158f434f2fa14c037f3944"
"crossbario/autobahn-js","refs/tags/v0.6.0^{}","5ceb2045aac453145241a6224055e90c4d911dcc"
"crossbario/autobahn-js","refs/tags/v0.7.0","5ecbb41a5c840baff8269ec4e34f4f63d5cee435"
"crossbario/autobahn-js","refs/tags/v0.7.0^{}","e482d23a4b1e0f167f4e3ee4da0edb91f8de657a"
"crossbario/autobahn-js","refs/tags/v0.7.1","becc1840a65aed56c2ecb02cb393b338f6ab500b"
"crossbario/autobahn-js","refs/tags/v0.7.1^{}","a3f5380b941ae2942d3489efb7ba8ebc4cb4e029"
"crossbario/autobahn-js","refs/tags/v0.7.3","9e9e490d154d70fd5c16ec78f88bc4c8b3ce62c7"
"crossbario/autobahn-js","refs/tags/v0.7.3^{}","c7348486b100f5eb41255a4386fb658db81838e8"
"crossbario/autobahn-js","refs/tags/v0.7.4","91909a5bf4fc9275d05e67ce69a7f5ce389f2eb0"
"crossbario/autobahn-js","refs/tags/v0.7.4^{}","3b652f28c0105ea7e3051967c576c31e91f0e52f"
"crossbario/autobahn-js","refs/tags/v0.7.5","9fc0506c5465d601f2f4c6e55887d93905997b7f"
"crossbario/autobahn-js","refs/tags/v0.7.5^{}","3bc341287ee51ba1282ab9af716e98f0a736ece8"
"crossbario/autobahn-js","refs/tags/v0.7.7","6c56dd3818c31780808f6a4df462d59b3910bd7c"
"crossbario/autobahn-js","refs/tags/v0.7.7^{}","1ffe219e085ddd025ccdf613c9c16cbf059814eb"
"crossbario/autobahn-js","refs/tags/v0.7.9","29ba48ef175883da07699c9dd0713f17ba32f9b8"
"crossbario/autobahn-js","refs/tags/v0.7.9^{}","f066aa9439de05e60196ea27a8336e55e7a1fe0f"
"crossbario/autobahn-js","refs/tags/v0.8.0","e5bbcf50a0fb56515d355f09f8e2a7e041477727"
"crossbario/autobahn-js","refs/tags/v0.8.0^{}","5561cb7d39004cb764a01454d922c2b4a083d010"
"crossbario/autobahn-js","refs/tags/v0.8.1","92edc33f06385876814edfb5b57ad7cde5d51397"
"crossbario/autobahn-js","refs/tags/v0.8.1^{}","7792473ad7fbb038e2656805013ea0cf21e567e2"
"crossbario/autobahn-js","refs/tags/v0.8.2","700c8c543e070b698e1375114f52812cff8b7f51"
"crossbario/autobahn-js","refs/tags/v0.8.2^{}","86440a7dc357f638c453eeb19b3e9af12721fedb"
"crossbario/autobahn-js","refs/tags/v0.9.0","2448d5ac5210abe7e2f9582846e1705b2775134b"
"crossbario/autobahn-js","refs/tags/v0.9.0^{}","f21d532a672339aea48c94a79bc9c1acad6ae4b2"
"crossbario/autobahn-js","refs/tags/v0.9.1-3","290b7d5b6664b09030e3ed39e5dd02de261d4923"
"crossbario/autobahn-js","refs/tags/v0.9.1-3^{}","6f1012a332ccb4a6b06403b0d69597154839babc"
"crossbario/autobahn-js","refs/tags/v0.9.2","04da2f65af188b5b44eb684008ec3eeba654ac32"
